City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Pevek,RU,2021-09-29 03:48:55,69.7008,170.3133,25.61,84,100,7.63
139,Khalkhal,IR,2021-09-29 03:48:55,37.6189,48.5258,50.61,83,37,5.01
140,Lompoc,US,2021-09-29 03:48:56,34.6391,-120.4579,61.21,76,1,5.75
141,Lafiagi,NG,2021-09-29 03:48:58,8.8667,5.4167,73.85,90,65,2.77
142,Abu Samrah,SY,2021-09-29 03:48:58,35.3029,37.1841,65.07,86,0,6.35
143,Touros,BR,2021-09-29 03:48:59,-5.1989,-35.4608,76.1,86,74,12.35
144,Port Lincoln,AU,2021-09-29 03:48:59,-34.7333,135.8667,61.65,71,59,4.83
145,Deputatskiy,RU,2021-09-29 03:48:59,69.3,139.9,23.72,63,63,0.87
146,Cam Ranh,VN,2021-09-29 03:49:00,11.9214,109.1591,89.56,58,40,6.91
147,Tautira,PF,2021-09-29 03:49:00,-17.7333,-149.15,80.62,81,71,14.72
148,Sao Filipe,CV,2021-09-29 03:49:01,14.8961,-24.4956,79.36,78,8,8.97
149,Kalmunai,LK,2021-09-29 03:49:02,7.4167,81.8167,88.23,51,81,5.68
150,Voyvozh,RU,2021-09-29 03:49:03,62.892,54.9635,38.98,94,100,4.74
151,Chuy,UY,2021-09-29 03:49:04,-33.6971,-53.4616,56.95,82,98,11.83
152,Dikson,RU,2021-09-29 03:49:05,73.5069,80.5464,36.59,94,100,13.65
153,Neryungri,RU,2021-09-29 03:48:42,56.6709,124.6491,33.03,96,100,13.56
154,Gopalur,IN,2021-09-29 03:49:07,16.6167,77.8,78.17,79,90,9.93
155,San Patricio,US,2021-09-29 03:49:08,28.017,-97.5169,84.29,75,32,17.02
156,Vung Tau,VN,2021-09-29 03:49:08,10.346,107.0843,84.69,73,34,4.03
157,Ilulissat,GL,2021-09-29 03:49:09,69.2167,-51.1,26.62,39,37,14.97
158,The Valley,AI,2021-09-29 03:49:09,18.217,-63.0578,84.06,71,41,11.9
159,Saint-Denis,FR,2021-09-29 03:49:09,48.9167,2.3333,59.16,84,75,3.0
160,La Ronge,CA,2021-09-29 03:49:10,55.1001,-105.2842,66.45,55,90,10.36
161,Vila Franca Do Campo,PT,2021-09-29 03:49:11,37.7167,-25.4333,73.2,91,27,3.85
162,Torbay,CA,2021-09-29 03:49:12,47.6666,-52.7314,62.67,92,90,14.97
163,Hermanus,ZA,2021-09-29 03:49:13,-34.4187,19.2345,57.9,84,20,9.31
164,Sainte-Marie,RE,2021-09-29 03:49:14,-20.8968,55.5496,72.77,68,20,19.57
165,Constitucion,CL,2021-09-29 03:49:15,-35.3333,-72.4167,48.81,60,0,6.69
166,Cabo San Lucas,MX,2021-09-29 03:49:16,22.8909,-109.9124,82.51,75,9,1.01
167,Airai,TL,2021-09-29 03:49:17,-8.9266,125.4092,82.67,28,16,3.6
168,Luangwa,ZM,2021-09-29 03:49:18,-15.6167,30.4167,73.72,44,30,2.1
169,Waipawa,NZ,2021-09-29 03:49:19,-41.4122,175.5153,59.45,57,4,9.35
170,Pitsunda,GE,2021-09-29 03:49:20,43.1592,40.3378,57.38,73,82,4.65
171,Guerrero Negro,MX,2021-09-29 03:49:21,27.9769,-114.0611,70.3,75,18,14.5
172,Tres Pontas,BR,2021-09-29 03:49:22,-21.3667,-45.5125,68.25,59,22,6.71
173,Kaitangata,NZ,2021-09-29 03:49:22,-46.2817,169.8464,50.94,74,70,10.83
174,Pokhara,NP,2021-09-29 03:49:23,28.2333,83.9833,79.2,71,32,4.56
175,Fallon,US,2021-09-29 03:49:24,39.4735,-118.7774,55.27,25,20,6.91
176,Owando,CG,2021-09-29 03:49:25,-0.4819,15.8999,69.3,98,91,2.46
177,Kirakira,SB,2021-09-29 03:49:26,-10.4544,161.9205,83.35,74,72,7.78
178,Itarema,BR,2021-09-29 03:49:27,-2.9248,-39.9167,78.76,84,12,16.31
179,Gazanjyk,TM,2021-09-29 03:49:28,39.2446,55.5154,69.51,36,0,7.58
180,Zheleznodorozhnyy,RU,2021-09-29 03:49:29,55.7503,38.0042,37.36,86,45,4.72
181,Butaritari,KI,2021-09-29 03:49:30,3.0707,172.7902,83.28,74,73,18.34
182,Chatellerault,FR,2021-09-29 03:49:32,46.8,0.5333,59.56,1,31,11.9
183,Tasiilaq,GL,2021-09-29 03:49:33,65.6145,-37.6368,33.96,65,100,5.26
184,Vardo,NO,2021-09-29 03:49:33,70.3705,31.1107,44.8,75,99,11.23
185,Hirna,ET,2021-09-29 03:49:33,9.2167,41.1,63.21,71,24,5.75
186,Alofi,NU,2021-09-29 03:49:34,-19.0595,-169.9187,78.69,89,75,13.8
187,Kaka,TM,2021-09-29 03:49:34,37.3482,59.6143,70.95,31,0,4.97
188,Viedma,AR,2021-09-29 03:49:35,-40.8135,-62.9967,49.39,61,3,11.68
189,Livingston,GB,2021-09-29 03:47:40,55.9029,-3.5226,45.1,91,20,5.75
190,Itupiranga,BR,2021-09-29 03:49:36,-5.1347,-49.3267,73.49,92,89,2.15
191,Agadez,NE,2021-09-29 03:49:37,19.75,10.25,82.44,15,100,10.11
192,Tezu,IN,2021-09-29 03:49:37,27.9167,96.1667,88.09,57,17,3.91
193,Hithadhoo,MV,2021-09-29 03:49:37,-0.6,73.0833,82.8,71,78,10.76
194,Bethel,US,2021-09-29 03:49:38,41.3712,-73.414,62.96,85,1,3.44
195,Garmsar,IR,2021-09-29 03:49:38,35.2182,52.3409,77.0,27,0,0.94
196,Souillac,MU,2021-09-29 03:49:40,-20.5167,57.5167,74.35,64,40,13.8
197,Ahipara,NZ,2021-09-29 03:49:42,-35.1667,173.1667,57.65,59,4,9.78
198,Hasaki,JP,2021-09-29 03:49:43,35.7333,140.8333,79.29,64,90,10.92
199,Ahvaz,IR,2021-09-29 03:48:07,31.3203,48.6693,87.91,10,0,3.67
200,Shingu,JP,2021-09-29 03:47:33,33.7333,135.9833,85.19,78,52,10.74
201,Ascension,US,2021-09-29 03:49:45,30.2169,-90.9001,74.07,97,100,8.77
202,Uzhur,RU,2021-09-29 03:49:46,55.3036,89.8339,41.49,57,6,10.96
203,Bilibino,RU,2021-09-29 03:49:47,68.0546,166.4372,12.92,91,55,2.59
204,Aswan,EG,2021-09-29 03:46:44,24.0934,32.907,76.3,35,0,6.91
205,Mehamn,NO,2021-09-29 03:49:49,71.0357,27.8492,51.75,66,0,5.75
206,Ndele,CF,2021-09-29 03:49:51,8.4109,20.6473,69.57,99,100,2.71
207,Marawi,PH,2021-09-29 03:49:51,7.9986,124.2928,77.65,54,100,2.57
208,Longyearbyen,SJ,2021-09-29 03:49:53,78.2186,15.6401,35.44,80,75,12.66
209,Tabou,CI,2021-09-29 03:49:55,4.423,-7.3528,75.79,90,83,3.87
210,Saint-Joseph,RE,2021-09-29 03:49:57,-21.3667,55.6167,71.2,72,45,8.55
211,Tangzhai,CN,2021-09-29 03:49:58,34.4328,116.5911,77.29,63,0,2.55
212,Provideniya,RU,2021-09-29 03:49:59,64.3833,-173.3,37.51,65,0,6.71
213,Arraial Do Cabo,BR,2021-09-29 03:49:59,-22.9661,-42.0278,70.57,91,10,22.28
214,Jalu,LY,2021-09-29 03:50:02,29.0331,21.5482,69.98,64,0,7.54
215,Sao Domingos,BR,2021-09-29 03:50:02,-13.3983,-46.3183,79.07,36,71,5.19
216,Kondopoga,RU,2021-09-29 03:50:03,62.2057,34.2614,40.68,97,16,3.51
217,Sechura,PE,2021-09-29 03:50:06,-5.5569,-80.8222,64.18,82,18,8.88
218,Ayagoz,KZ,2021-09-29 03:50:06,47.9714,80.4392,59.92,41,46,16.93
219,Grindavik,IS,2021-09-29 03:50:07,63.8424,-22.4338,39.67,87,90,39.12
220,Santa Maria,BR,2021-09-29 03:46:53,-29.6842,-53.8069,58.3,100,90,5.75
221,Abbeville,FR,2021-09-29 03:47:20,50.1,1.8333,55.49,91,100,15.28
222,Nsoko,SZ,2021-09-29 03:50:08,-27.0333,31.95,65.53,81,79,3.11
223,Tulagi,SB,2021-09-29 03:50:09,-9.0996,160.1476,82.42,76,99,10.45
224,Nome,US,2021-09-29 03:50:09,64.5011,-165.4064,37.47,52,75,6.91
225,Petropavlovsk-Kamchatskiy,RU,2021-09-29 03:50:19,53.0452,158.6483,63.19,48,20,15.66
226,Homer,US,2021-09-29 03:50:19,59.6425,-151.5483,46.29,59,1,5.75
227,Camopi,GF,2021-09-29 03:50:19,3.1655,-52.3158,70.83,100,4,1.79
228,Port Hedland,AU,2021-09-29 03:50:20,-20.3167,118.5667,91.45,25,3,8.05
229,Seoul,KR,2021-09-29 03:48:41,37.5683,126.9778,72.79,88,90,8.05
230,Bud,US,2021-09-29 03:50:20,39.447,-86.1758,69.78,85,0,6.87
231,Suntar,RU,2021-09-29 03:50:21,62.1444,117.6319,39.36,60,42,8.1
232,Mahebourg,MU,2021-09-29 03:50:21,-20.4081,57.7,74.25,64,40,13.8
233,Severo-Kurilsk,RU,2021-09-29 03:50:21,50.6789,156.125,54.79,77,100,11.05
234,Saint Anthony,US,2021-09-29 03:50:22,45.0205,-93.218,68.2,66,1,3.0
235,Gold Coast,AU,2021-09-29 03:50:22,-28.0,153.4333,73.24,56,40,4.0
236,Haines Junction,CA,2021-09-29 03:50:22,60.7522,-137.5108,28.35,80,78,0.0
237,Krasnyy Yar,RU,2021-09-29 03:50:23,46.5331,48.3456,44.53,47,96,12.08
238,Wilmington,US,2021-09-29 03:50:23,34.2257,-77.9447,77.86,81,1,3.44
239,Uvalde,US,2021-09-29 03:50:23,29.3669,-99.767,81.55,44,40,5.75
240,Hofn,IS,2021-09-29 03:50:24,64.2539,-15.2082,38.66,62,100,8.08
241,Ketchikan,US,2021-09-29 03:50:24,55.3422,-131.6461,48.18,85,100,15.05
242,Juba,SS,2021-09-29 03:50:24,4.8517,31.5825,69.84,91,98,3.44
243,Koutiala,ML,2021-09-29 03:50:25,12.3917,-5.4642,74.52,59,14,6.13
244,Biloxi,US,2021-09-29 03:50:25,30.396,-88.8853,75.24,97,1,5.75
245,Beyneu,KZ,2021-09-29 03:50:26,45.3167,55.2,47.88,53,22,13.8
246,Robertsport,LR,2021-09-29 03:50:26,6.7533,-11.3686,77.74,78,95,3.42
247,Alyangula,AU,2021-09-29 03:50:27,-13.8483,136.4192,89.47,51,40,8.05
248,Iralaya,HN,2021-09-29 03:50:27,15.0,-83.2333,80.33,82,53,5.84
249,Maniitsoq,GL,2021-09-29 03:50:27,65.4167,-52.9,31.64,49,3,7.67
250,Lorengau,PG,2021-09-29 03:50:28,-2.0226,147.2712,85.91,69,45,8.9
251,La Mira,MX,2021-09-29 03:50:28,18.035,-102.3266,76.82,87,93,3.38
252,Zinder,NE,2021-09-29 03:50:29,13.8072,8.9881,83.01,46,54,9.33
253,Upernavik,GL,2021-09-29 03:50:29,72.7868,-56.1549,25.39,53,14,4.97
254,Brae,GB,2021-09-29 03:50:30,60.3964,-1.353,49.91,93,100,5.64
255,Morgan City,US,2021-09-29 03:50:30,29.6994,-91.2068,73.99,100,90,3.44
256,Yerbogachen,RU,2021-09-29 03:50:31,61.2767,108.0108,39.27,53,40,6.15
257,Bilma,NE,2021-09-29 03:50:31,18.6853,12.9164,85.51,20,99,9.93
258,Hilo,US,2021-09-29 03:50:32,19.7297,-155.09,75.79,91,90,4.61
259,Porto Novo,BJ,2021-09-29 03:50:32,6.4965,2.6036,78.62,90,97,4.09
260,Puerto Narino,CO,2021-09-29 03:50:32,-3.7703,-70.3831,74.5,85,43,2.19
261,Nishihara,JP,2021-09-29 03:50:33,26.1842,127.7558,87.46,75,40,9.22
262,Fershampenuaz,RU,2021-09-29 03:50:33,53.5202,59.8117,33.51,91,94,15.08
263,Buraydah,SA,2021-09-29 03:48:48,26.326,43.975,68.45,15,4,5.73
264,Itapecerica,BR,2021-09-29 03:50:33,-20.4725,-45.1256,67.42,65,30,3.8
265,Tarbert,GB,2021-09-29 03:50:34,55.8628,-5.4162,49.98,88,9,7.45
266,Port Elizabeth,ZA,2021-09-29 03:50:34,-33.918,25.5701,57.49,72,0,11.5
267,Esperance,AU,2021-09-29 03:50:35,-33.8667,121.9,64.24,60,94,6.13
268,Sampit,ID,2021-09-29 03:50:35,-2.5333,112.95,88.38,63,72,4.41
269,Dagana,MR,2021-09-29 03:50:35,16.5165,-15.5068,82.38,71,0,10.4
270,Fairbanks,US,2021-09-29 03:50:36,64.8378,-147.7164,33.8,68,1,0.0
271,Chapais,CA,2021-09-29 03:50:36,49.7834,-74.8492,40.78,97,100,5.61
272,Naze,JP,2021-09-29 03:50:36,28.3667,129.4833,85.12,76,39,19.75
273,Evensk,RU,2021-09-29 03:50:37,61.95,159.2333,36.34,30,48,21.81
274,Stony Plain,CA,2021-09-29 03:50:37,53.5334,-114.0021,54.91,62,90,2.3
275,Pacific Grove,US,2021-09-29 03:50:38,36.6177,-121.9166,62.71,80,1,3.0
276,Narsaq,GL,2021-09-29 03:50:38,60.9167,-46.05,29.41,41,0,7.34
277,Vila Velha,BR,2021-09-29 03:50:32,-20.3297,-40.2925,73.35,83,40,8.05
278,Srednekolymsk,RU,2021-09-29 03:50:39,67.45,153.6833,29.3,64,88,8.81
279,Huayang,CN,2021-09-29 03:50:39,34.4155,109.9939,67.08,54,0,1.28
280,Penzance,GB,2021-09-29 03:46:09,50.1186,-5.5371,54.77,68,4,24.18
281,Indramayu,ID,2021-09-29 03:50:40,-6.3264,108.32,86.79,58,68,14.12
282,Lukiv,UA,2021-09-29 03:50:40,51.0521,25.4006,44.19,92,58,9.55
283,North Bend,US,2021-09-29 03:50:41,43.4065,-124.2243,55.31,94,40,0.0
284,Sovetskiy,RU,2021-09-29 03:50:43,61.3614,63.5842,36.3,71,37,3.8
285,Mattru,SL,2021-09-29 03:50:44,7.6244,-11.8332,73.08,96,96,1.28
286,Gwadar,PK,2021-09-29 03:50:45,25.1216,62.3254,87.93,56,78,3.56
287,Richards Bay,ZA,2021-09-29 03:50:45,-28.783,32.0377,67.98,80,83,3.76
288,Ostersund,SE,2021-09-29 03:50:46,63.1792,14.6357,47.61,100,75,12.66
289,Tamandare,BR,2021-09-29 03:46:12,-8.7597,-35.1047,73.94,86,31,6.93
290,Ruston,US,2021-09-29 03:50:47,32.5232,-92.6379,72.5,88,1,3.44
291,Shache,CN,2021-09-29 03:50:47,38.4167,77.2406,77.7,11,0,9.6
292,Arkadak,RU,2021-09-29 03:50:47,51.9326,43.4978,36.64,83,57,6.8
293,Hualmay,PE,2021-09-29 03:50:48,-11.0964,-77.6139,62.08,85,30,6.78
