City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Ust-Kuyga,RU,70.0167,135.6,22.17,97,100,2.19,light snow
246,Acarau,BR,-2.8856,-40.12,88.93,56,4,21.81,clear sky
247,Lompoc,US,34.6391,-120.4579,72.79,76,1,0.0,clear sky
248,Katsuura,JP,35.1333,140.3,71.71,80,2,9.33,clear sky
249,Ahipara,NZ,-35.1667,173.1667,61.25,96,100,14.29,overcast clouds
250,Weiser,US,44.251,-116.9693,43.0,39,33,2.75,scattered clouds
251,Urucara,BR,-2.5364,-57.76,92.79,47,86,5.35,overcast clouds
252,Grand Gaube,MU,-20.0064,57.6608,73.38,72,3,11.01,clear sky
253,Hobyo,SO,5.3505,48.5268,79.81,81,43,21.07,scattered clouds
254,Conakry,GN,9.538,-13.6773,88.36,74,40,11.5,light rain
255,San Angelo,US,31.4638,-100.437,73.29,83,1,1.99,clear sky
256,Santa Barbara,US,34.7333,-120.0343,72.82,15,0,5.86,clear sky
257,Vao,NC,-22.6667,167.4833,71.19,92,2,5.88,clear sky
258,Podgornoye,RU,51.735,39.1496,52.02,66,75,4.47,broken clouds
259,Bonavista,CA,48.6499,-53.1147,60.12,85,89,6.44,overcast clouds
260,Nelson Bay,AU,-32.7167,152.15,65.08,79,39,8.28,scattered clouds
261,Geraldton,AU,-28.7667,114.6,50.41,87,0,6.91,clear sky
262,San Quintin,MX,30.4833,-115.95,76.06,46,96,3.24,overcast clouds
263,Vila Velha,BR,-20.3297,-40.2925,84.15,61,75,18.41,broken clouds
264,Palmares Do Sul,BR,-30.2578,-50.5097,67.75,81,100,7.63,overcast clouds
265,Severo-Kurilsk,RU,50.6789,156.125,47.64,87,73,43.33,broken clouds
266,Atar,MR,20.5169,-13.0499,106.27,4,3,9.64,clear sky
267,Neiafu,TO,-18.65,-173.9833,75.88,94,40,9.22,light rain
268,Namibe,AO,-15.1961,12.1522,67.14,67,6,9.82,clear sky
269,Qaanaaq,GL,77.484,-69.3632,31.75,97,100,10.4,light snow
270,Ahvaz,IR,31.3203,48.6693,94.95,18,0,2.3,clear sky
271,Kamaishi,JP,39.2667,141.8833,63.14,87,1,9.28,clear sky
272,Pervomayskiy,RU,53.2485,40.2871,42.13,62,18,6.06,few clouds
273,Susanville,US,40.4163,-120.653,44.44,42,1,3.44,clear sky
274,Oranjemund,NA,-28.55,16.4333,58.87,57,0,28.32,clear sky
275,Tuatapere,NZ,-46.1333,167.6833,45.82,92,100,3.36,overcast clouds
